state,county,candidate,party,total_votes,won
West Virginia,Tucker County,Jo Jorgensen,LIB,54,FALSE
West Virginia,Tucker County,Howie Hawkins,GRN,11,FALSE
West Virginia,Tyler County,Donald Trump,REP,3226,TRUE
West Virginia,Tyler County,Joe Biden,DEM,631,FALSE
West Virginia,Tyler County,Jo Jorgensen,LIB,56,FALSE
West Virginia,Tyler County,Howie Hawkins,GRN,9,FALSE
West Virginia,Upshur County,Donald Trump,REP,7771,TRUE
West Virginia,Upshur County,Joe Biden,DEM,2256,FALSE
West Virginia,Upshur County,Jo Jorgensen,LIB,167,FALSE
West Virginia,Upshur County,Howie Hawkins,GRN,27,FALSE
West Virginia,Wayne County,Donald Trump,REP,12462,TRUE
West Virginia,Wayne County,Joe Biden,DEM,3964,FALSE
West Virginia,Wayne County,Jo Jorgensen,LIB,218,FALSE
West Virginia,Wayne County,Howie Hawkins,GRN,50,FALSE
West Virginia,Wayne County, Write-ins,WRI,41,FALSE
West Virginia,Webster County,Donald Trump,REP,2759,TRUE
West Virginia,Webster County,Joe Biden,DEM,610,FALSE
West Virginia,Webster County,Jo Jorgensen,LIB,23,FALSE
West Virginia,Webster County,Howie Hawkins,GRN,10,FALSE
West Virginia,Wetzel County,Donald Trump,REP,4993,TRUE
West Virginia,Wetzel County,Joe Biden,DEM,1539,FALSE
West Virginia,Wetzel County,Jo Jorgensen,LIB,103,FALSE
West Virginia,Wetzel County,Howie Hawkins,GRN,32,FALSE
West Virginia,Wirt County,Donald Trump,REP,2134,TRUE
West Virginia,Wirt County,Joe Biden,DEM,466,FALSE
West Virginia,Wirt County,Jo Jorgensen,LIB,45,FALSE
West Virginia,Wirt County,Howie Hawkins,GRN,8,FALSE
West Virginia,Wood County,Donald Trump,REP,26963,TRUE
West Virginia,Wood County,Joe Biden,DEM,10816,FALSE
West Virginia,Wood County,Jo Jorgensen,LIB,514,FALSE
West Virginia,Wood County,Howie Hawkins,GRN,110,FALSE
West Virginia,Wood County, Write-ins,WRI,0,FALSE
West Virginia,Wyoming County,Donald Trump,REP,7353,TRUE
West Virginia,Wyoming County,Joe Biden,DEM,1157,FALSE
West Virginia,Wyoming County,Jo Jorgensen,LIB,66,FALSE
West Virginia,Wyoming County,Howie Hawkins,GRN,16,FALSE
Wisconsin,Adams County,Donald Trump,REP,7362,TRUE
Wisconsin,Adams County,Joe Biden,DEM,4329,FALSE
Wisconsin,Adams County,Jo Jorgensen,LIB,85,FALSE
Wisconsin,Adams County,Don Blankenship,CST,27,FALSE
Wisconsin,Adams County, Write-ins,WRI,12,FALSE
Wisconsin,Adams County,Brian Carroll,ASP,3,FALSE
Wisconsin,Ashland County,Joe Biden,DEM,4801,TRUE
Wisconsin,Ashland County,Donald Trump,REP,3841,FALSE
Wisconsin,Ashland County,Jo Jorgensen,LIB,70,FALSE
Wisconsin,Ashland County, Write-ins,WRI,23,FALSE
Wisconsin,Ashland County,Don Blankenship,CST,11,FALSE
Wisconsin,Ashland County,Brian Carroll,ASP,11,FALSE
Wisconsin,Barron County,Donald Trump,REP,15803,TRUE
Wisconsin,Barron County,Joe Biden,DEM,9194,FALSE
Wisconsin,Barron County,Jo Jorgensen,LIB,262,FALSE
Wisconsin,Barron County,Don Blankenship,CST,37,FALSE
Wisconsin,Barron County, Write-ins,WRI,29,FALSE
Wisconsin,Barron County,Brian Carroll,ASP,21,FALSE
Wisconsin,Bayfield County,Joe Biden,DEM,6147,TRUE
Wisconsin,Bayfield County,Donald Trump,REP,4617,FALSE
Wisconsin,Bayfield County,Jo Jorgensen,LIB,80,FALSE
Wisconsin,Bayfield County,Brian Carroll,ASP,13,FALSE
Wisconsin,Bayfield County, Write-ins,WRI,12,FALSE
Wisconsin,Bayfield County,Don Blankenship,CST,11,FALSE
Wisconsin,Brown County,Donald Trump,REP,75865,TRUE
Wisconsin,Brown County,Joe Biden,DEM,65509,FALSE
Wisconsin,Brown County,Jo Jorgensen,LIB,1829,FALSE
Wisconsin,Brown County, Write-ins,WRI,388,FALSE
Wisconsin,Brown County,Don Blankenship,CST,215,FALSE
Wisconsin,Brown County,Brian Carroll,ASP,205,FALSE
Wisconsin,Buffalo County,Donald Trump,REP,4834,TRUE
Wisconsin,Buffalo County,Joe Biden,DEM,2860,FALSE
Wisconsin,Buffalo County,Jo Jorgensen,LIB,80,FALSE
Wisconsin,Buffalo County,Don Blankenship,CST,20,FALSE
Wisconsin,Buffalo County, Write-ins,WRI,12,FALSE
Wisconsin,Buffalo County,Brian Carroll,ASP,10,FALSE
Wisconsin,Burnett County,Donald Trump,REP,6462,TRUE
Wisconsin,Burnett County,Joe Biden,DEM,3569,FALSE
Wisconsin,Burnett County,Jo Jorgensen,LIB,86,FALSE
Wisconsin,Burnett County,Don Blankenship,CST,13,FALSE
Wisconsin,Burnett County,Brian Carroll,ASP,9,FALSE
Wisconsin,Burnett County, Write-ins,WRI,2,FALSE
Wisconsin,Calumet County,Donald Trump,REP,18156,TRUE
Wisconsin,Calumet County,Joe Biden,DEM,12116,FALSE
Wisconsin,Calumet County,Jo Jorgensen,LIB,363,FALSE
Wisconsin,Calumet County,Brian Carroll,ASP,75,FALSE
Wisconsin,Calumet County,Don Blankenship,CST,42,FALSE
Wisconsin,Calumet County, Write-ins,WRI,22,FALSE
Wisconsin,Chippewa County,Donald Trump,REP,21317,TRUE
Wisconsin,Chippewa County,Joe Biden,DEM,13983,FALSE
Wisconsin,Chippewa County,Jo Jorgensen,LIB,501,FALSE
Wisconsin,Chippewa County,Don Blankenship,CST,60,FALSE
Wisconsin,Chippewa County,Brian Carroll,ASP,45,FALSE
Wisconsin,Chippewa County, Write-ins,WRI,32,FALSE
Wisconsin,Clark County,Donald Trump,REP,10002,TRUE
Wisconsin,Clark County,Joe Biden,DEM,4524,FALSE
Wisconsin,Clark County,Jo Jorgensen,LIB,168,FALSE
Wisconsin,Clark County,Brian Carroll,ASP,147,FALSE
Wisconsin,Clark County,Don Blankenship,CST,32,FALSE
Wisconsin,Clark County, Write-ins,WRI,25,FALSE
Wisconsin,Columbia County,Donald Trump,REP,16927,TRUE
Wisconsin,Columbia County,Joe Biden,DEM,16410,FALSE
Wisconsin,Columbia County,Jo Jorgensen,LIB,421,FALSE
Wisconsin,Columbia County,Don Blankenship,CST,61,FALSE
Wisconsin,Columbia County,Brian Carroll,ASP,32,FALSE
Wisconsin,Columbia County, Write-ins,WRI,18,FALSE
Wisconsin,Crawford County,Donald Trump,REP,4620,TRUE
Wisconsin,Crawford County,Joe Biden,DEM,3953,FALSE
Wisconsin,Crawford County,Jo Jorgensen,LIB,92,FALSE
Wisconsin,Crawford County,Don Blankenship,CST,18,FALSE
Wisconsin,Crawford County,Brian Carroll,ASP,12,FALSE
Wisconsin,Crawford County, Write-ins,WRI,0,FALSE
Wisconsin,Dane County,Joe Biden,DEM,260185,TRUE
Wisconsin,Dane County,Donald Trump,REP,78800,FALSE
Wisconsin,Dane County,Jo Jorgensen,LIB,3668,FALSE
Wisconsin,Dane County, Write-ins,WRI,1151,FALSE
Wisconsin,Dane County,Brian Carroll,ASP,583,FALSE
Wisconsin,Dane County,Don Blankenship,CST,404,FALSE
Wisconsin,Dodge County,Donald Trump,REP,31355,TRUE
Wisconsin,Dodge County,Joe Biden,DEM,16356,FALSE
Wisconsin,Dodge County,Jo Jorgensen,LIB,535,FALSE
Wisconsin,Dodge County,Don Blankenship,CST,90,FALSE
Wisconsin,Dodge County,Brian Carroll,ASP,81,FALSE
Wisconsin,Dodge County, Write-ins,WRI,19,FALSE
Wisconsin,Door County,Joe Biden,DEM,10044,TRUE
Wisconsin,Door County,Donald Trump,REP,9752,FALSE
Wisconsin,Door County,Jo Jorgensen,LIB,231,FALSE
Wisconsin,Door County, Write-ins,WRI,41,FALSE
Wisconsin,Door County,Don Blankenship,CST,27,FALSE
Wisconsin,Door County,Brian Carroll,ASP,22,FALSE
Wisconsin,Douglas County,Joe Biden,DEM,13218,TRUE
Wisconsin,Douglas County,Donald Trump,REP,10923,FALSE
Wisconsin,Douglas County,Jo Jorgensen,LIB,379,FALSE
Wisconsin,Douglas County, Write-ins,WRI,74,FALSE
Wisconsin,Douglas County,Don Blankenship,CST,42,FALSE
Wisconsin,Douglas County,Brian Carroll,ASP,41,FALSE
Wisconsin,Dunn County,Donald Trump,REP,13173,TRUE
Wisconsin,Dunn County,Joe Biden,DEM,9897,FALSE
Wisconsin,Dunn County,Jo Jorgensen,LIB,368,FALSE
Wisconsin,Dunn County,Don Blankenship,CST,44,FALSE
Wisconsin,Dunn County,Brian Carroll,ASP,28,FALSE
Wisconsin,Dunn County, Write-ins,WRI,14,FALSE
Wisconsin,Eau Claire County,Joe Biden,DEM,31620,TRUE
Wisconsin,Eau Claire County,Donald Trump,REP,25341,FALSE
Wisconsin,Eau Claire County,Jo Jorgensen,LIB,925,FALSE
Wisconsin,Eau Claire County, Write-ins,WRI,201,FALSE
Wisconsin,Eau Claire County,Don Blankenship,CST,97,FALSE
Wisconsin,Eau Claire County,Brian Carroll,ASP,91,FALSE
Wisconsin,Florence County,Donald Trump,REP,2133,TRUE
Wisconsin,Florence County,Joe Biden,DEM,781,FALSE
Wisconsin,Florence County,Jo Jorgensen,LIB,22,FALSE
Wisconsin,Florence County,Don Blankenship,CST,4,FALSE
Wisconsin,Florence County,Brian Carroll,ASP,0,FALSE
Wisconsin,Florence County, Write-ins,WRI,0,FALSE
Wisconsin,Fond du Lac County,Donald Trump,REP,35754,TRUE
Wisconsin,Fond du Lac County,Joe Biden,DEM,20588,FALSE
Wisconsin,Fond du Lac County,Jo Jorgensen,LIB,686,FALSE
Wisconsin,Fond du Lac County,Don Blankenship,CST,91,FALSE
Wisconsin,Fond du Lac County,Brian Carroll,ASP,75,FALSE
Wisconsin,Fond du Lac County, Write-ins,WRI,57,FALSE
Wisconsin,Forest County,Donald Trump,REP,3285,TRUE
Wisconsin,Forest County,Joe Biden,DEM,1721,FALSE
Wisconsin,Forest County,Jo Jorgensen,LIB,35,FALSE
Wisconsin,Forest County,Don Blankenship,CST,6,FALSE
Wisconsin,Forest County, Write-ins,WRI,4,FALSE
Wisconsin,Forest County,Brian Carroll,ASP,2,FALSE
Wisconsin,Grant County,Donald Trump,REP,14142,TRUE
Wisconsin,Grant County,Joe Biden,DEM,10998,FALSE
Wisconsin,Grant County,Jo Jorgensen,LIB,350,FALSE
Wisconsin,Grant County, Write-ins,WRI,50,FALSE
Wisconsin,Grant County,Don Blankenship,CST,34,FALSE
Wisconsin,Grant County,Brian Carroll,ASP,34,FALSE
Wisconsin,Green County,Joe Biden,DEM,10851,TRUE
Wisconsin,Green County,Donald Trump,REP,10169,FALSE
Wisconsin,Green County,Jo Jorgensen,LIB,271,FALSE
Wisconsin,Green County, Write-ins,WRI,50,FALSE
Wisconsin,Green County,Don Blankenship,CST,38,FALSE
Wisconsin,Green County,Brian Carroll,ASP,27,FALSE
Wisconsin,Green Lake County,Donald Trump,REP,7168,TRUE
Wisconsin,Green Lake County,Joe Biden,DEM,3344,FALSE
Wisconsin,Green Lake County,Jo Jorgensen,LIB,110,FALSE
Wisconsin,Green Lake County, Write-ins,WRI,23,FALSE
Wisconsin,Green Lake County,Don Blankenship,CST,15,FALSE
Wisconsin,Green Lake County,Brian Carroll,ASP,11,FALSE
Wisconsin,Iowa County,Joe Biden,DEM,7828,TRUE
Wisconsin,Iowa County,Donald Trump,REP,5909,FALSE
Wisconsin,Iowa County,Jo Jorgensen,LIB,161,FALSE
Wisconsin,Iowa County,Brian Carroll,ASP,44,FALSE
Wisconsin,Iowa County,Don Blankenship,CST,25,FALSE
Wisconsin,Iowa County, Write-ins,WRI,25,FALSE
Wisconsin,Iron County,Donald Trump,REP,2438,TRUE
Wisconsin,Iron County,Joe Biden,DEM,1533,FALSE
Wisconsin,Iron County,Jo Jorgensen,LIB,26,FALSE
Wisconsin,Iron County,Don Blankenship,CST,6,FALSE
Wisconsin,Iron County, Write-ins,WRI,6,FALSE
Wisconsin,Iron County,Brian Carroll,ASP,1,FALSE
Wisconsin,Jackson County,Donald Trump,REP,5791,TRUE
Wisconsin,Jackson County,Joe Biden,DEM,4256,FALSE
Wisconsin,Jackson County,Jo Jorgensen,LIB,111,FALSE
Wisconsin,Jackson County,Don Blankenship,CST,17,FALSE
Wisconsin,Jackson County,Brian Carroll,ASP,8,FALSE
Wisconsin,Jackson County, Write-ins,WRI,1,FALSE
Wisconsin,Jefferson County,Donald Trump,REP,27208,TRUE
Wisconsin,Jefferson County,Joe Biden,DEM,19904,FALSE
Wisconsin,Jefferson County,Jo Jorgensen,LIB,634,FALSE
Wisconsin,Jefferson County, Write-ins,WRI,120,FALSE
Wisconsin,Jefferson County,Don Blankenship,CST,69,FALSE
Wisconsin,Jefferson County,Brian Carroll,ASP,44,FALSE
Wisconsin,Juneau County,Donald Trump,REP,8749,TRUE
Wisconsin,Juneau County,Joe Biden,DEM,4747,FALSE
Wisconsin,Juneau County,Jo Jorgensen,LIB,142,FALSE
Wisconsin,Juneau County,Don Blankenship,CST,25,FALSE
Wisconsin,Juneau County,Brian Carroll,ASP,20,FALSE
Wisconsin,Juneau County, Write-ins,WRI,19,FALSE
Wisconsin,Kenosha County,Donald Trump,REP,44972,TRUE
Wisconsin,Kenosha County,Joe Biden,DEM,42191,FALSE
Wisconsin,Kenosha County,Jo Jorgensen,LIB,1037,FALSE
Wisconsin,Kenosha County, Write-ins,WRI,224,FALSE
Wisconsin,Kenosha County,Don Blankenship,CST,147,FALSE
Wisconsin,Kenosha County,Brian Carroll,ASP,120,FALSE
Wisconsin,Kewaunee County,Donald Trump,REP,7927,TRUE
Wisconsin,Kewaunee County,Joe Biden,DEM,3976,FALSE
Wisconsin,Kewaunee County,Jo Jorgensen,LIB,127,FALSE
Wisconsin,Kewaunee County, Write-ins,WRI,27,FALSE
Wisconsin,Kewaunee County,Don Blankenship,CST,26,FALSE
Wisconsin,Kewaunee County,Brian Carroll,ASP,12,FALSE
Wisconsin,La Crosse County,Joe Biden,DEM,37846,TRUE
Wisconsin,La Crosse County,Donald Trump,REP,28684,FALSE
Wisconsin,La Crosse County,Jo Jorgensen,LIB,877,FALSE
Wisconsin,La Crosse County, Write-ins,WRI,221,FALSE
Wisconsin,La Crosse County,Don Blankenship,CST,135,FALSE
Wisconsin,La Crosse County,Brian Carroll,ASP,121,FALSE
Wisconsin,Lafayette County,Donald Trump,REP,4821,TRUE
Wisconsin,Lafayette County,Joe Biden,DEM,3647,FALSE
Wisconsin,Lafayette County,Jo Jorgensen,LIB,57,FALSE
Wisconsin,Lafayette County,Don Blankenship,CST,15,FALSE
Wisconsin,Lafayette County,Brian Carroll,ASP,9,FALSE
Wisconsin,Lafayette County, Write-ins,WRI,6,FALSE
Wisconsin,Langlade County,Donald Trump,REP,7330,TRUE
Wisconsin,Langlade County,Joe Biden,DEM,3704,FALSE
Wisconsin,Langlade County,Jo Jorgensen,LIB,94,FALSE
Wisconsin,Langlade County,Don Blankenship,CST,20,FALSE
Wisconsin,Langlade County,Brian Carroll,ASP,13,FALSE
Wisconsin,Langlade County, Write-ins,WRI,4,FALSE
Wisconsin,Lincoln County,Donald Trump,REP,10017,TRUE
Wisconsin,Lincoln County,Joe Biden,DEM,6261,FALSE
Wisconsin,Lincoln County,Jo Jorgensen,LIB,175,FALSE
Wisconsin,Lincoln County,Don Blankenship,CST,31,FALSE
Wisconsin,Lincoln County,Brian Carroll,ASP,13,FALSE
Wisconsin,Lincoln County, Write-ins,WRI,0,FALSE
Wisconsin,Manitowoc County,Donald Trump,REP,27218,TRUE
Wisconsin,Manitowoc County,Joe Biden,DEM,16818,FALSE
Wisconsin,Manitowoc County,Jo Jorgensen,LIB,553,FALSE
Wisconsin,Manitowoc County,Brian Carroll,ASP,87,FALSE
Wisconsin,Manitowoc County, Write-ins,WRI,78,FALSE
Wisconsin,Manitowoc County,Don Blankenship,CST,75,FALSE
Wisconsin,Marathon County,Donald Trump,REP,44624,TRUE
Wisconsin,Marathon County,Joe Biden,DEM,30808,FALSE
Wisconsin,Marathon County,Jo Jorgensen,LIB,929,FALSE
Wisconsin,Marathon County,Don Blankenship,CST,151,FALSE
Wisconsin,Marathon County, Write-ins,WRI,146,FALSE
Wisconsin,Marathon County,Brian Carroll,ASP,93,FALSE
Wisconsin,Marinette County,Donald Trump,REP,15304,TRUE
Wisconsin,Marinette County,Joe Biden,DEM,7366,FALSE
Wisconsin,Marinette County,Jo Jorgensen,LIB,237,FALSE
Wisconsin,Marinette County,Don Blankenship,CST,33,FALSE
Wisconsin,Marinette County,Brian Carroll,ASP,32,FALSE
Wisconsin,Marinette County, Write-ins,WRI,7,FALSE
Wisconsin,Marquette County,Donald Trump,REP,5719,TRUE
Wisconsin,Marquette County,Joe Biden,DEM,3239,FALSE
Wisconsin,Marquette County,Jo Jorgensen,LIB,78,FALSE
Wisconsin,Marquette County, Write-ins,WRI,15,FALSE
Wisconsin,Marquette County,Don Blankenship,CST,10,FALSE
Wisconsin,Marquette County,Brian Carroll,ASP,4,FALSE
Wisconsin,Menominee County,Joe Biden,DEM,1303,TRUE
Wisconsin,Menominee County,Donald Trump,REP,278,FALSE
Wisconsin,Menominee County,Jo Jorgensen,LIB,6,FALSE
Wisconsin,Menominee County,Don Blankenship,CST,3,FALSE
Wisconsin,Menominee County,Brian Carroll,ASP,0,FALSE
Wisconsin,Menominee County, Write-ins,WRI,0,FALSE
Wisconsin,Milwaukee County,Joe Biden,DEM,317251,TRUE
Wisconsin,Milwaukee County,Donald Trump,REP,134355,FALSE
Wisconsin,Milwaukee County,Jo Jorgensen,LIB,4339,FALSE
Wisconsin,Milwaukee County, Write-ins,WRI,1617,FALSE
Wisconsin,Milwaukee County,Brian Carroll,ASP,750,FALSE
Wisconsin,Milwaukee County,Don Blankenship,CST,623,FALSE
Wisconsin,Monroe County,Donald Trump,REP,13775,TRUE
Wisconsin,Monroe County,Joe Biden,DEM,8433,FALSE
Wisconsin,Monroe County,Jo Jorgensen,LIB,263,FALSE
Wisconsin,Monroe County,Don Blankenship,CST,66,FALSE
Wisconsin,Monroe County, Write-ins,WRI,44,FALSE
Wisconsin,Monroe County,Brian Carroll,ASP,30,FALSE
Wisconsin,Oconto County,Donald Trump,REP,16226,TRUE
Wisconsin,Oconto County,Joe Biden,DEM,6715,FALSE
Wisconsin,Oconto County,Jo Jorgensen,LIB,210,FALSE
Wisconsin,Oconto County,Don Blankenship,CST,40,FALSE
Wisconsin,Oconto County,Brian Carroll,ASP,20,FALSE
Wisconsin,Oconto County, Write-ins,WRI,4,FALSE
Wisconsin,Oneida County,Donald Trump,REP,13671,TRUE
Wisconsin,Oneida County,Joe Biden,DEM,10105,FALSE
Wisconsin,Oneida County,Jo Jorgensen,LIB,283,FALSE
Wisconsin,Oneida County,Don Blankenship,CST,43,FALSE
Wisconsin,Oneida County, Write-ins,WRI,40,FALSE
Wisconsin,Oneida County,Brian Carroll,ASP,17,FALSE
Wisconsin,Outagamie County,Donald Trump,REP,58385,TRUE
Wisconsin,Outagamie County,Joe Biden,DEM,47667,FALSE
Wisconsin,Outagamie County,Jo Jorgensen,LIB,1569,FALSE
Wisconsin,Outagamie County,Brian Carroll,ASP,177,FALSE
Wisconsin,Outagamie County,Don Blankenship,CST,172,FALSE
Wisconsin,Outagamie County, Write-ins,WRI,52,FALSE
Wisconsin,Ozaukee County,Donald Trump,REP,33912,TRUE
Wisconsin,Ozaukee County,Joe Biden,DEM,26517,FALSE
Wisconsin,Ozaukee County,Jo Jorgensen,LIB,647,FALSE
Wisconsin,Ozaukee County, Write-ins,WRI,239,FALSE
Wisconsin,Ozaukee County,Brian Carroll,ASP,89,FALSE
Wisconsin,Ozaukee County,Don Blankenship,CST,82,FALSE
Wisconsin,Pepin County,Donald Trump,REP,2584,TRUE
Wisconsin,Pepin County,Joe Biden,DEM,1489,FALSE
Wisconsin,Pepin County,Jo Jorgensen,LIB,51,FALSE
Wisconsin,Pepin County,Don Blankenship,CST,13,FALSE
Wisconsin,Pepin County,Brian Carroll,ASP,4,FALSE
Wisconsin,Pepin County, Write-ins,WRI,3,FALSE
Wisconsin,Pierce County,Donald Trump,REP,12903,TRUE
Wisconsin,Pierce County,Joe Biden,DEM,9839,FALSE
Wisconsin,Pierce County,Jo Jorgensen,LIB,385,FALSE
Wisconsin,Pierce County,Brian Carroll,ASP,226,FALSE
Wisconsin,Pierce County,Don Blankenship,CST,56,FALSE
Wisconsin,Pierce County, Write-ins,WRI,49,FALSE
Wisconsin,Polk County,Donald Trump,REP,16611,TRUE
Wisconsin,Polk County,Joe Biden,DEM,9370,FALSE
Wisconsin,Polk County,Jo Jorgensen,LIB,289,FALSE
Wisconsin,Polk County,Don Blankenship,CST,53,FALSE
Wisconsin,Polk County,Brian Carroll,ASP,36,FALSE
Wisconsin,Polk County, Write-ins,WRI,12,FALSE
Wisconsin,Portage County,Joe Biden,DEM,20428,TRUE
Wisconsin,Portage County,Donald Trump,REP,19299,FALSE
Wisconsin,Portage County,Jo Jorgensen,LIB,640,FALSE
Wisconsin,Portage County, Write-ins,WRI,102,FALSE
Wisconsin,Portage County,Don Blankenship,CST,67,FALSE
Wisconsin,Portage County,Brian Carroll,ASP,67,FALSE
Wisconsin,Price County,Donald Trump,REP,5394,TRUE
Wisconsin,Price County,Joe Biden,DEM,3032,FALSE
Wisconsin,Price County,Jo Jorgensen,LIB,98,FALSE
Wisconsin,Price County,Don Blankenship,CST,14,FALSE
Wisconsin,Price County,Brian Carroll,ASP,5,FALSE
Wisconsin,Price County, Write-ins,WRI,3,FALSE
Wisconsin,Racine County,Donald Trump,REP,54479,TRUE
Wisconsin,Racine County,Joe Biden,DEM,50159,FALSE
Wisconsin,Racine County,Jo Jorgensen,LIB,1200,FALSE
Wisconsin,Racine County, Write-ins,WRI,294,FALSE
Wisconsin,Racine County,Don Blankenship,CST,169,FALSE
Wisconsin,Racine County,Brian Carroll,ASP,150,FALSE
Wisconsin,Richland County,Donald Trump,REP,4871,TRUE
Wisconsin,Richland County,Joe Biden,DEM,3995,FALSE
Wisconsin,Richland County,Jo Jorgensen,LIB,102,FALSE
Wisconsin,Richland County,Don Blankenship,CST,20,FALSE
Wisconsin,Richland County,Brian Carroll,ASP,14,FALSE
Wisconsin,Richland County, Write-ins,WRI,12,FALSE
Wisconsin,Rock County,Joe Biden,DEM,46649,TRUE
Wisconsin,Rock County,Donald Trump,REP,37133,FALSE
Wisconsin,Rock County,Jo Jorgensen,LIB,1094,FALSE
Wisconsin,Rock County, Write-ins,WRI,198,FALSE
Wisconsin,Rock County,Don Blankenship,CST,152,FALSE
Wisconsin,Rock County,Brian Carroll,ASP,122,FALSE
Wisconsin,Rusk County,Donald Trump,REP,5257,TRUE
Wisconsin,Rusk County,Joe Biden,DEM,2517,FALSE
Wisconsin,Rusk County,Jo Jorgensen,LIB,85,FALSE
Wisconsin,Rusk County,Don Blankenship,CST,12,FALSE
Wisconsin,Rusk County,Brian Carroll,ASP,8,FALSE
Wisconsin,Rusk County, Write-ins,WRI,7,FALSE
Wisconsin,St. Croix County,Donald Trump,REP,32199,TRUE
Wisconsin,St. Croix County,Joe Biden,DEM,23190,FALSE
Wisconsin,St. Croix County,Jo Jorgensen,LIB,878,FALSE
Wisconsin,St. Croix County,Brian Carroll,ASP,169,FALSE
Wisconsin,St. Croix County, Write-ins,WRI,156,FALSE
Wisconsin,St. Croix County,Don Blankenship,CST,115,FALSE
Wisconsin,Sauk County,Joe Biden,DEM,18108,TRUE
Wisconsin,Sauk County,Donald Trump,REP,17493,FALSE
Wisconsin,Sauk County,Jo Jorgensen,LIB,441,FALSE
Wisconsin,Sauk County,Brian Carroll,ASP,89,FALSE
Wisconsin,Sauk County,Don Blankenship,CST,50,FALSE
Wisconsin,Sauk County, Write-ins,WRI,22,FALSE
Wisconsin,Sawyer County,Donald Trump,REP,5909,TRUE
Wisconsin,Sawyer County,Joe Biden,DEM,4498,FALSE
Wisconsin,Sawyer County,Jo Jorgensen,LIB,62,FALSE
Wisconsin,Sawyer County, Write-ins,WRI,18,FALSE
Wisconsin,Sawyer County,Don Blankenship,CST,15,FALSE
Wisconsin,Sawyer County,Brian Carroll,ASP,8,FALSE
Wisconsin,Shawano County,Donald Trump,REP,15173,TRUE
Wisconsin,Shawano County,Joe Biden,DEM,7131,FALSE
Wisconsin,Shawano County,Jo Jorgensen,LIB,253,FALSE
Wisconsin,Shawano County,Don Blankenship,CST,33,FALSE
Wisconsin,Shawano County,Brian Carroll,ASP,17,FALSE
Wisconsin,Shawano County, Write-ins,WRI,0,FALSE
Wisconsin,Sheboygan County,Donald Trump,REP,37609,TRUE
Wisconsin,Sheboygan County,Joe Biden,DEM,27101,FALSE
Wisconsin,Sheboygan County,Jo Jorgensen,LIB,896,FALSE
Wisconsin,Sheboygan County, Write-ins,WRI,174,FALSE
Wisconsin,Sheboygan County,Don Blankenship,CST,133,FALSE
Wisconsin,Sheboygan County,Brian Carroll,ASP,90,FALSE
Wisconsin,Taylor County,Donald Trump,REP,7655,TRUE
Wisconsin,Taylor County,Joe Biden,DEM,2693,FALSE
Wisconsin,Taylor County,Brian Carroll,ASP,185,FALSE
Wisconsin,Taylor County,Jo Jorgensen,LIB,113,FALSE
Wisconsin,Taylor County,Don Blankenship,CST,31,FALSE
Wisconsin,Taylor County, Write-ins,WRI,7,FALSE
Wisconsin,Trempealeau County,Donald Trump,REP,8833,TRUE
Wisconsin,Trempealeau County,Joe Biden,DEM,6285,FALSE
Wisconsin,Trempealeau County,Don Blankenship,CST,38,FALSE
Wisconsin,Trempealeau County, Write-ins,WRI,26,FALSE
Wisconsin,Trempealeau County,Brian Carroll,ASP,21,FALSE
Wisconsin,Trempealeau County,Jo Jorgensen,LIB,17,FALSE
Wisconsin,Vernon County,Donald Trump,REP,8218,TRUE
Wisconsin,Vernon County,Joe Biden,DEM,7457,FALSE
Wisconsin,Vernon County,Jo Jorgensen,LIB,182,FALSE
Wisconsin,Vernon County,Don Blankenship,CST,29,FALSE
Wisconsin,Vernon County,Brian Carroll,ASP,24,FALSE
Wisconsin,Vernon County, Write-ins,WRI,4,FALSE
Wisconsin,Vilas County,Donald Trump,REP,9261,TRUE
Wisconsin,Vilas County,Joe Biden,DEM,5903,FALSE
Wisconsin,Vilas County,Jo Jorgensen,LIB,138,FALSE
Wisconsin,Vilas County, Write-ins,WRI,31,FALSE
Wisconsin,Vilas County,Don Blankenship,CST,22,FALSE
Wisconsin,Vilas County,Brian Carroll,ASP,14,FALSE
Wisconsin,Walworth County,Donald Trump,REP,33851,TRUE
Wisconsin,Walworth County,Joe Biden,DEM,22789,FALSE
Wisconsin,Walworth County,Jo Jorgensen,LIB,641,FALSE
Wisconsin,Walworth County, Write-ins,WRI,146,FALSE
Wisconsin,Walworth County,Don Blankenship,CST,98,FALSE
Wisconsin,Walworth County,Brian Carroll,ASP,75,FALSE
Wisconsin,Washburn County,Donald Trump,REP,6334,TRUE
Wisconsin,Washburn County,Joe Biden,DEM,3867,FALSE
Wisconsin,Washburn County,Jo Jorgensen,LIB,123,FALSE
Wisconsin,Washburn County, Write-ins,WRI,22,FALSE
Wisconsin,Washburn County,Don Blankenship,CST,19,FALSE
Wisconsin,Washburn County,Brian Carroll,ASP,13,FALSE
Wisconsin,Washington County,Donald Trump,REP,60237,TRUE
Wisconsin,Washington County,Joe Biden,DEM,26650,FALSE
Wisconsin,Washington County,Jo Jorgensen,LIB,941,FALSE
Wisconsin,Washington County,Don Blankenship,CST,125,FALSE
Wisconsin,Washington County,Brian Carroll,ASP,78,FALSE
Wisconsin,Washington County, Write-ins,WRI,39,FALSE
Wisconsin,Waukesha County,Donald Trump,REP,159649,TRUE
Wisconsin,Waukesha County,Joe Biden,DEM,103906,FALSE
